hno	dno	pName	price	explanation	Add 
1	1	다운펌	35000	다운펌 (Down Perm): 머리카락을 아래쪽으로 향하도록 곱게 말아내는 펌 스타일입니다.	20000
2	1	맨즈펌	150000	맨즈펌 (Men's Perm): 남성용 펌으로, 곱게 말아낸 스타일이나 웨이브를 만들어줍니다.	
3	1	로니펌	180000	로니펌 (Loni Perm): 루즈한 웨이브나 곱게 말아낸 스타일을 만들어주는 펌 스타일입니다.	30000
4	1	남성스패셜펌	200000	남성스패셜펌 (Men's Special Perm): 남성을 위한 특별한 디자인이나 스타일의 펌입니다.	
5	1	남성볼륨매직	180000	남성볼륨매직 (Men's Volume Magic): 남성의 머리카락에 볼륨을 부여하는 매직 트리트먼트입니다.	
6	1	앞머리펌	60000	앞머리펌 (Bangs Perm): 앞머리에 웨이브나 곱게 말아낸 스타일을 만들어주는 펌입니다.	
7	1	뿌리펌	60000	뿌리펌 (Root Perm): 뿌리에만 웨이브를 주어 볼륨감을 부여하는 펌입니다.	
8	1	여성일반펌	120000	여성일반펌 (Women's Regular Perm): 여성을 위한 일반적인 펌 스타일로, 웨이브를 만들어줍니다.	10000
9	1	뿌리매직	180000	뿌리매직 (Root Magic): 뿌리에 특별한 트리트먼트를 적용하여 볼륨을 부여하는 서비스입니다.	
10	1	매직전체	200000	매직전체 (Magic Whole): 머리 전체에 볼륨을 부여하는 매직 트리트먼트입니다.	30000
11	1	여성셋팅	200000	 여성셋팅 (Women's Setting): 여성용 스타일링으로, 머리를 원하는 스타일로 정돈해주는 서비스입니다	30000
12	2	뿌리탈색	80000	 뿌리탈색 (Root Bleaching): 뿌리 부분에 염색약을 사용하여 뿌리를 밝게 만드는 염색 서비스입니다	
13	2	남성전체염색	100000	 남성전체염색 (Men's Full Color): 남성을 위한 전체적인 머리 염색 서비스로, 머리 전체를 염색합니다	
14	2	여성전체염색	120000	 여성전체염색 (Women's Full Color): 여성을 위한 전체적인 머리 염색 서비스로, 머리 전체를 염색합니다	20000
15	2	디자인염색	230000	 디자인염색 (Design Coloring): 머리카락에 특별한 디자인이나 패턴을 만들어주는 염색 서비스입니다	30000
16	2	전체탈색	140000	 전체탈색 (Full Bleaching): 머리 전체에 염색약을 사용하여 모든 머리카락을 밝게 만드는 탈색 서비스입니다	
17	2	뿌리염색	70000	 뿌리염색 (Root Coloring): 뿌리 부분에 염색약을 사용하여 뿌리를 어둡게 만드는 염색 서비스입니다	
18	3	두피클리닉	50000	 두피클리닉 (Scalp Clinic): 두피 건강을 케어하고 모공 관리를 위한 특별한 클리닉 서비스입니다	
19	3	모발클리닉	50000	 모발클리닉 (Hair Clinic): 모발 건강을 케어하고 모발에 특별한 트리트먼트를 제공하는 클리닉 서비스입니다	10000
20	4	영유아컷	10000	 영유아컷 (Children's Cut): 영유아를 위한 미용실에서의 머리 자르기 서비스입니다	
21	4	주니어컷	15000	 주니어컷 (Junior Cut): 어린이를 위한 미용실에서의 머리 자르기 서비스입니다	
22	4	기본컷	20000	기본 컷 (Basic Cut): 기본 컷은 가장 흔하고 일반적인 컷으로, 주로 헤어의 길이를 조절하고 모양을 정돈하는데 사용됩니다. 헤어를 깔끔하게 다듬어서 자연스러운 스타일을 만듭니다.	
23	4	레이어디컷	25000	레이어드 컷 (Layered Cut): 레이어드 컷은 여러 층으로 헤어를 자르는 스타일입니다. 이를 통해 헤어에 깊이와 볼륨을 부여하고, 다양한 스타일링을 할 수 있습니다.	
24	4	펌컷	30000	펌 컷 (Perm Cut): 펌 컷은 곱슬 또는 파마를 위해 헤어를 준비하는 과정입니다. 이 컷은 고객의 헤어 타입과 원하는 곱슬 형태에 따라 다르게 적용됩니다.	
25	4	언더컷	25000	언더컷 (Undercut): 언더컷은 옆머리와 뒷머리의 길이를 매우 짧게 다듬는 스타일입니다. 일반적으로 위쪽의 헤어를 길게 남겨 스타일링하는데 사용됩니다.	
26	4	부분컷	10000	부분 컷 (Partial Cut): 부분 컷은 특정 부분의 헤어만 자르는 스타일입니다. 주로 앞머리나 옆머리, 혹은 특정 부분의 길이나 모양을 조절할 때 사용됩니다. 이를 통해 머리의 일부분에 포커스를 맞추거나 특정 영역을 강조할 수 있습니다.	
27	5	블로우아웃	25000	블로우 아웃 (Blowout): 헤어 드라이어를 사용하여 헤어를 건조하고 볼륨을 부여하는 스타일링입니다. 보통 브러시를 사용하여 루트부터 끝까지 헤어를 스타일링합니다.	
28	5	스트레이트닝	25000	스트레이트닝 (Straightening): 헤어를 매끄럽고 직선적으로 스타일링하는 프로세스로, 헤어 아이론이나 특수한 드라이어 또는 스타이마이저를 사용하여 수행됩니다.	5000
29	5	컬링	30000	컬링 (Curling): 헤어 아이론이나 고데기를 사용하여 헤어에 곱슬을 만들거나 웨이브를 부여하는 스타일링입니다.	5000
30	5	프렌치트위스트	40000	프렌치 트위스트 (French Twist): 헤어를 돌려서 롤링하고 핀으로 고정하여 고전적이고 우아한 스타일을 만드는 프로세스입니다.	5000
31	5	땋기	20000	땋기 (Braiding): 헤어를 꼬아서 땋어 여러 가지 스타일을 만드는 것으로, 헤어의 길이와 두께에 따라 다양한 브레이드 스타일이 있습니다.	5000
32	5	부톤업	15000	부톤 업 (Volume Up): 볼륨을 추가하여 더 풍성한 룩을 만드는 프로세스로, 헤어를 드라이 하면서 루트 부분에 볼륨을 주는 기술입니다.	
