rno	date	time	uno	sno	hno	addTF	price	complete
1	2024-08-01	10:00	44	1	6	0	78000	1
2	2024-08-01	11:00	27	1	3,22	0,0	260000	1
3	2024-08-01	13:00	8	1	5,11	0,0	494000	1
4	2024-08-01	15:00	48	1	8	0	156000	1
5	2024-08-01	16:00	12	1	18,21	0,0	84500	1
6	2024-08-01	10:00	58	2	3	0	216000	1
7	2024-08-01	11:00	41	2	4,8	0,0	384000	1
8	2024-08-01	14:00	1	2	7,14	0,0	216000	1
9	2024-08-01	17:00	27	2	24	0	36000	1
10	2024-08-01	18:00	38	2	12,16	0,0	264000	1
11	2024-08-01	11:00	2	4	4	0	200000	1
12	2024-08-01	12:00	35	4	12	0	80000	1
13	2024-08-01	13:00	43	4	22	0	20000	1
14	2024-08-01	15:00	7	4	3,19	0,0	230000	1
15	2024-08-01	10:00	5	6	2	0	150000	1
16	2024-08-01	11:00	14	6	3,5	0,0	360000	1
17	2024-08-01	16:00	80	6	8	0	120000	1
18	2024-08-01	17:00	50	6	14,15	0,0	350000	1
19	2024-08-01	10:00	37	7	1,23	0,0	60000	1
20	2024-08-01	12:00	15	7	2,15	0,0	380000	1
21	2024-08-01	14:00	67	7	18	0	50000	1
22	2024-08-01	15:00	60	7	11,13	0,0	300000	1
23	2024-08-01	18:00	33	7	12,19	0,0	130000	1
24	2024-08-01	10:00	10	9	6,25	0,0	85000	1
25	2024-08-01	12:00	38	9	2,13	0,0	250000	1
26	2024-08-01	14:00	51	9	12,16	0,0	220000	1
27	2024-08-01	16:00	72	9	1	0	35000	1
28	2024-08-01	17:00	30	9	6,9	0,0	240000	1
29	2024-08-02	10:00	40	1	4,5	0,0	494000	1
30	2024-08-02	14:00	71	1	7,20	0,0	91000	1
31	2024-08-02	17:00	10	1	18,19	0,0	130000	1
32	2024-08-02	10:00	21	2	2,10	0,0	420000	1
33	2024-08-02	13:00	29	2	9	0	216000	1
34	2024-08-02	17:00	17	2	20	0	12000	1
35	2024-08-02	10:00	72	3	12	0	88000	1
36	2024-08-02	14:00	35	3	2	0	165000	1
37	2024-08-02	17:00	44	3	16	0	154000	1
38	2024-08-02	10:00	26	4	18	0	50000	1
39	2024-08-02	11:00	60	4	20	0	10000	1
40	2024-08-02	12:00	59	4	1,17	0,0	105000	1
41	2024-08-02	16:00	49	4	17	0	70000	1
42	2024-08-02	17:00	59	4	7,11	0,0	260000	1
43	2024-08-02	12:00	58	6	2,4	0,0	350000	1
44	2024-08-02	16:00	64	6	7,14	0,0	180000	1
45	2024-08-02	19:00	32	6	12	0	80000	1
46	2024-08-02	10:00	80	7	13,19	0,0	150000	1
47	2024-08-02	12:00	48	7	11	0	200000	1
48	2024-08-02	13:00	30	7	11,16	0,0	340000	1
49	2024-08-02	15:00	28	7	11	0	200000	1
50	2024-08-02	16:00	25	7	3,10	0,0	380000	1
51	2024-08-02	10:00	62	8	2,8	0,0	270000	1
52	2024-08-02	12:00	41	8	2	0	150000	1
53	2024-08-02	13:00	31	8	21	0	15000	1
54	2024-08-02	14:00	39	8	18,24	0,0	80000	1
55	2024-08-02	16:00	33	8	14	0	120000	1
56	2024-08-02	17:00	20	8	6,16	0,0	200000	1
57	2024-08-02	10:00	61	11	6,19	0,0	110000	1
58	2024-08-02	16:00	46	11	7,8	0,0	180000	1
59	2024-08-02	18:00	45	11	15,18	0,0	280000	1
60	2024-08-03	10:00	55	1	1,2	0,0	240500	1
61	2024-08-03	13:00	51	1	7,21	0,0	97500	1
62	2024-08-03	16:00	74	1	2,9	0,0	429000	1
63	2024-08-03	18:00	35	1	3,16	0,0	416000	1
64	2024-08-03	10:00	63	3	5,9	0,0	396000	1
65	2024-08-03	12:00	16	3	4	0	220000	1
66	2024-08-03	14:00	52	3	7	0	66000	1
67	2024-08-03	15:00	14	3	7	0	66000	1
68	2024-08-03	16:00	40	3	13	0	110000	1
69	2024-08-03	17:00	45	3	3,12	0,0	286000	1
70	2024-08-03	10:00	67	4	12,16	0,0	220000	1
71	2024-08-03	12:00	74	4	3,8	0,0	300000	1
72	2024-08-03	15:00	34	4	19	0	50000	1
73	2024-08-03	16:00	68	4	25	0	25000	1
74	2024-08-03	17:00	66	4	4,12	0,0	280000	1
75	2024-08-03	10:00	21	5	3,17	0,0	250000	1
76	2024-08-03	12:00	65	5	5	0	180000	1
77	2024-08-03	13:00	79	5	24	0	30000	1
78	2024-08-03	14:00	38	5	6,7	0,0	120000	1
79	2024-08-03	16:00	11	5	2,14	0,0	270000	1
80	2024-08-03	18:00	3	5	9,12	0,0	260000	1
81	2024-08-03	12:00	51	6	11,23	0,0	225000	1
82	2024-08-03	15:00	23	6	1,4	0,0	235000	1
83	2024-08-03	17:00	58	6	17	0	70000	1
84	2024-08-03	18:00	15	6	4,23	0,0	225000	1
85	2024-08-03	11:00	15	7	6,18	0,0	110000	1
86	2024-08-03	15:00	3	7	4,12	0,0	280000	1
87	2024-08-03	18:00	27	7	3,5	0,0	360000	1
88	2024-08-03	10:00	79	8	9,12	0,0	260000	1
89	2024-08-03	14:00	63	8	1,25	0,0	60000	1
90	2024-08-03	18:00	2	8	11,20	0,0	210000	1
91	2024-08-03	10:00	34	9	13	0	100000	1
92	2024-08-03	11:00	7	9	2,16	0,0	290000	1
93	2024-08-03	13:00	9	9	6	0	60000	1
94	2024-08-03	14:00	72	9	12	0	80000	1
95	2024-08-03	18:00	38	9	21,24	0,0	45000	1
96	2024-08-03	10:00	46	10	1,8	0,0	155000	1
97	2024-08-03	12:00	19	10	1,22	0,0	55000	1
98	2024-08-03	18:00	9	10	14,15	0,0	350000	1
99	2024-08-03	11:00	32	11	5,14	0,0	300000	1
100	2024-08-03	13:00	71	11	3	0	180000	1
101	2024-08-03	14:00	13	11	13,17	0,0	170000	1
102	2024-08-03	17:00	27	11	5,14	0,0	300000	1
103	2024-08-03	19:00	75	11	14	0	120000	1
104	2024-08-04	10:00	79	2	18	0	60000	1
105	2024-08-04	11:00	35	2	21,24	0,0	54000	1
106	2024-08-04	13:00	67	2	7	0	72000	1
107	2024-08-04	14:00	24	2	18,20	0,0	72000	1
108	2024-08-04	16:00	50	2	7	0	72000	1
109	2024-08-04	17:00	64	2	2,12	0,0	276000	1
110	2024-08-04	10:00	29	3	12,15	0,0	341000	1
111	2024-08-04	12:00	32	3	13	0	110000	1
112	2024-08-04	13:00	78	3	14,15	0,0	385000	1
113	2024-08-04	16:00	44	3	5,17	0,0	275000	1
114	2024-08-04	18:00	54	3	4	0	220000	1
115	2024-08-04	19:00	7	3	11	0	220000	1
116	2024-08-04	11:00	61	4	2,19	0,0	200000	1
117	2024-08-04	13:00	70	4	13,19	0,0	150000	1
118	2024-08-04	15:00	67	4	4,10	0,0	400000	1
119	2024-08-04	17:00	53	4	2,5	0,0	330000	1
120	2024-08-04	19:00	43	4	3	0	180000	1
121	2024-08-04	10:00	18	5	22	0	20000	1
122	2024-08-04	13:00	76	5	10,24	0,0	230000	1
123	2024-08-04	15:00	45	5	6,16	0,0	200000	1
124	2024-08-04	18:00	17	5	3,21	0,0	195000	1
125	2024-08-04	10:00	11	6	12	0	80000	1
126	2024-08-04	11:00	79	6	12,15	0,0	310000	1
127	2024-08-04	13:00	39	6	7,16	0,0	200000	1
128	2024-08-04	15:00	53	6	1,8	0,0	155000	1
129	2024-08-04	18:00	29	6	10,13	0,0	300000	1
130	2024-08-04	10:00	12	7	7	0	60000	1
131	2024-08-04	11:00	63	7	18,21	0,0	65000	1
132	2024-08-04	14:00	5	7	13,16	0,0	240000	1
133	2024-08-04	17:00	19	7	3,19	0,0	230000	1
134	2024-08-04	10:00	4	8	9,24	0,0	210000	1
135	2024-08-04	13:00	61	8	3,16	0,0	320000	1
136	2024-08-04	15:00	47	8	6	0	60000	1
137	2024-08-04	16:00	54	8	5,16	0,0	320000	1
138	2024-08-04	18:00	52	8	5,6	0,0	240000	1
139	2024-08-04	10:00	31	9	23	0	25000	1
140	2024-08-04	11:00	45	9	6	0	60000	1
141	2024-08-04	12:00	31	9	3	0	180000	1
142	2024-08-04	16:00	68	9	14	0	120000	1
143	2024-08-04	17:00	27	9	5,14	0,0	300000	1
144	2024-08-04	12:00	65	10	8	0	120000	1
